iter	Logloss	AUC
569	0.5715426423	0.7636856203
570	0.5715248774	0.7637122937
571	0.5714970955	0.7637376211
572	0.5714661489	0.7637733235
573	0.5714405272	0.7638006215
574	0.5714224962	0.7638161552
575	0.5714091595	0.7638363997
576	0.5713950967	0.7638531317
577	0.5713659974	0.7638974464
578	0.5713484807	0.7639212436
579	0.5713283301	0.7639417688
580	0.5713128325	0.7639616804
581	0.5712942404	0.7639787565
582	0.5712650694	0.7640075924
583	0.5712456471	0.7640342077
584	0.571224384	0.7640557544
585	0.5711983601	0.7640931257
586	0.5711817145	0.7641111307
587	0.5711163078	0.7641644807
588	0.5710733248	0.7642090817
589	0.5710542472	0.7642365429
590	0.5710398994	0.7642549452
591	0.5710211462	0.7642804273
592	0.5710089055	0.7642970236
593	0.5709941875	0.764312558
594	0.5709267153	0.764372319
595	0.5709144988	0.7643909943
596	0.5708880727	0.764416604
597	0.5708729732	0.7644359944
598	0.5708483057	0.7644736547
599	0.5708304272	0.7644972385
600	0.5708144774	0.7645181641
601	0.5707948499	0.7645473509
602	0.5707740377	0.7645651055
603	0.5707500898	0.7646015743
604	0.5707332892	0.7646205916
605	0.5706940275	0.7646796917
606	0.5706453602	0.7647164327
607	0.57057567	0.7647619453
608	0.5705191339	0.76481541
609	0.5704923178	0.7648475246
610	0.570456459	0.764887758
611	0.5704365876	0.7649080723
612	0.5704167288	0.7649304203
613	0.570399522	0.764946874
614	0.5703479902	0.7649737757
615	0.5703047563	0.7650046165
616	0.5702621999	0.7650457069
617	0.5702416186	0.7650768406
618	0.5702239164	0.7650971954
619	0.570208126	0.7651070848
620	0.5701691126	0.7651374916
621	0.5701153947	0.7651589398
622	0.5700956968	0.7651834263
623	0.5700460523	0.7652073645
624	0.5700218894	0.7652424123
625	0.5699938623	0.7652708982
626	0.5699668722	0.7653119921
627	0.5699376914	0.7653360847
628	0.5699210433	0.7653599039
629	0.5699038219	0.7653792004
630	0.5698894303	0.765397646
631	0.5698382603	0.7654397651
632	0.5697960865	0.7654875081
633	0.5697775909	0.7655090985
634	0.5697640193	0.7655286006
635	0.5697414959	0.7655555966
636	0.5697100803	0.7655803131
637	0.5696736025	0.7656325798
638	0.5696524389	0.7656616497
639	0.5696323052	0.7656786506
640	0.5696183624	0.7656992479
641	0.5695747141	0.7657360254
642	0.5695504374	0.7657720788
643	0.5695348039	0.7657880999
644	0.569522208	0.7658044642
645	0.569508477	0.7658176058
646	0.569485555	0.7658406041
647	0.5694378584	0.7658577003
648	0.5694246723	0.7658732235
649	0.5694113709	0.7658883816
650	0.5693976322	0.765906087
651	0.5693806122	0.7659338068
652	0.569359627	0.7659566696
653	0.5693463153	0.7659701715
654	0.5693309677	0.7659887309
655	0.5693076304	0.7660134404
656	0.5692955917	0.7660328962
657	0.5692830911	0.766049081
658	0.5692334625	0.766071493
659	0.5692225307	0.7660898911
660	0.5692118637	0.7660989629
661	0.569192831	0.766124106
662	0.5691786417	0.766133995
663	0.5691715164	0.7661467266
664	0.5691498751	0.7661674755
665	0.5691252487	0.7661975098
666	0.5691029613	0.7662245482
667	0.5690907612	0.7662399539
668	0.5690536042	0.7662574138
669	0.5690144109	0.7662720908
670	0.5689767221	0.7663026996
671	0.5689593361	0.7663259334
672	0.5689255907	0.7663596231
673	0.5689029484	0.7663819267
674	0.5688499191	0.7664224275
675	0.5688364688	0.7664335224
676	0.568796101	0.7664839367
677	0.5687796616	0.7665088956
678	0.5687684973	0.766525485
679	0.5687455381	0.7665519309
680	0.5687086657	0.7665649215
681	0.5686986621	0.7665785076
682	0.5686826882	0.7666001595
683	0.5686327965	0.7666457958
684	0.5685994776	0.766684518
685	0.5685702567	0.7667169903
686	0.56853274	0.7667582901
687	0.5685199704	0.7667737824
688	0.5685099797	0.7667858034
689	0.5684967625	0.7668049244
690	0.5684311233	0.7668598424
691	0.5684198753	0.7668773058
692	0.5684082047	0.7668946855
693	0.5683738852	0.7669304041
694	0.5683613384	0.7669457392
695	0.5683303892	0.7669845095
696	0.5683101813	0.7670039134
697	0.5682950313	0.7670217653
698	0.5682422584	0.767060757
699	0.5682354472	0.7670719072
